property_district_number,region,central_region_category
01,Central,Rest of Central Region
02,Central,Rest of Central Region
03,South,Rest of Central Region
04,South,Rest of Central Region
05,West,Rest of Central Region
06,Central,Rest of Central Region
07,Central,Rest of Central Region
08,Central,Rest of Central Region
09,Central,Core Central Region
10,Central,Core Central Region
11,Central,Core Central Region
12,Central,Rest of Central Region
13,East,Outside Central Region
14,East,Outside Central Region
15,East,Outside Central Region
16,East,Outside Central Region
17,East,Outside Central Region
18,East,Outside Central Region
19,North,Outside Central Region
20,North,Outside Central Region
21,West,Outside Central Region
22,West,Outside Central Region
23,West,Outside Central Region
24,West,Outside Central Region
25,North,Outside Central Region
26,North,Outside Central Region
27,North,Outside Central Region
28,North,Outside Central Region
